Module,Criteria,Score
M0369 Implantació sistemes operatius,Instal·la sistemes operatius analitzant-ne les característiques i interpretant-ne la documentació tècnica.,100
M0369 Implantació sistemes operatius,Configura el programari de base atenent les necessitats d'explotació del sistema informàtic.,100
M0369 Implantació sistemes operatius,Assegura la informació del sistema descrivint els procediments i utilitzant còpies de seguretat i sistemes tolerants a errors.,100
M0369 Implantació sistemes operatius,Centralitza la informació en servidors administrant estructures de dominis i analitzant-ne els avantatges.,100
M0369 Implantació sistemes operatius,Administra l'accés a dominis analitzant i respectant requeriments de seguretat.,100
M0369 Implantació sistemes operatius,Detecta problemes de rendiment monitorant el sistema amb les eines adequades i documentant el procediment.,100
M0369 Implantació sistemes operatius,Audita la utilització i l'accés a recursos identificant i respectant les necessitats de seguretat del sistema.,100
M0369 Implantació sistemes operatius,Implanta programari específic amb estructura client/servidor donant resposta als requisits funcionals.,100
M0372 Bases de Dades,Reconeix els elements de les bases de dades analitzant-ne les funcions i valorant la utilitat dels sistemes gestors.,75
M0372 Bases de Dades,Dissenya models lògics normalitzats interpretant diagrames d'entitat/relació.,50
M0372 Bases de Dades,Realitza el disseny físic de bases de dades utilitzant assistents eines gràfiques i el llenguatge de definició de dades.,75
M0372 Bases de Dades,Consulta la informació emmagatzemada emprant assistents eines gràfiques i el llenguatge de manipulació de dades.,75
M0372 Bases de Dades,Modifica la informació emmagatzemada emprant assistents eines gràfiques i el llenguatge de manipulació de dades.,75
M0372 Bases de Dades,Executa tasques d'assegurament de la informació analitzant-les i aplicant mecanismes de salvaguarda i transferència.,100
M0373 Llenguatge de marques,Reconeix les característiques de llenguatges de marques analitzant i interpretant fragments de codi.,100
M0373 Llenguatge de marques,Utilitza llenguatges de marques per a la transmissió i presentació de informació a través del web analitzant l'estructura dels documents i identificant-ne els elements.,75
M0373 Llenguatge de marques,Accedeix i manipula documents web utilitzant llenguatges de guions de client.,75
M0373 Llenguatge de marques,Estableix mecanismes de validació de documents per a l'intercanvi d'informació utilitzant mètodes per definir-ne la sintaxi i l'estructura.,50
M0373 Llenguatge de marques,Realitza conversions sobre documents per a l'intercanvi de informació utilitzant tècniques llenguatges i eines de processament.,0
M0373 Llenguatge de marques,Gestiona la informació en formats d'intercanvi de dades analitzant i utilitzant tecnologies d'emmagatzematge i llenguatges de consulta.,100
M0373 Llenguatge de marques,Efectua operacions amb sistemes empresarials de gestió d'informació realitzant tasques d'importació integració assegurament i extracció de la informació.,100
M1708 Sostenibilitat,Identifica els aspectes ambientals socials i de governança (ASG) relatius a la sostenibilitat tenint en compte el concepte de desenvolupament sostenible i els marcs internacionals que contribueixen a la seva consecució.,100
M1708 Sostenibilitat,Caracteritza els reptes ambientals i socials als quals s'enfronta la societat descrivint els impactes sobre les persones i els sectors productius i proposant accions per a minimitzar-los.,100
M1708 Sostenibilitat,Estableix l'aplicació de criteris de sostenibilitat en l'acompliment professional i personal identificant els elements necessaris.,100
M1708 Sostenibilitat,Proposa productes i serveis responsables tenint en compte els principis de l'economia circular.,100
M1708 Sostenibilitat,Realitza activitats sostenibles minimitzant l'impacte de les mateixes en el medi ambient.,100
M1708 Sostenibilitat,Analitza un pla de sostenibilitat d'una empresa del sector identificant els seus grups d'interès els aspectes ASG materials i justificant accions per a la seva gestió i mesurament.,100
M1665 Digitalització,Analitza el concepte de digitalització i la seva repercussió en els sectors productius tenint en compte l'activitat de l'empresa i identificant entorns IT i OT característics.,100
M1665 Digitalització,Caracteritza les tecnologies habilitadores digitals necessàries per a l'adequació/transformació de les empreses a entorns digitals descrivint les seves característiques i aplicacions.,100
M1665 Digitalització,Identifica aplicacions de la IA en entorns del sector on està emmarcat el títol descrivint les millores implícites en la seva implementació.,50
M1665 Digitalització,Identifica sistemes basats en cloud/núvol i la seva influència en el desenvolupament dels sistemes digitals.,100
M1665 Digitalització,Avalua la importància de les dades així com la seva protecció en una economia digital globalitzada definint sistemes de seguretat i ciberseguretat tant a nivell d'equip/sistema com a globals.,100
M1665 Digitalització,Desenvolupa un projecte de transformació digital d'una empresa d'un sector relacionat amb el títol tenint en compte els canvis que s'han de produir en funció dels objectius de l'empresa.,100
M0371 Fonaments de maquinari,Configura equips microinformàtics components i perifèrics analitzant-ne les seves característiques i la relació amb el conjunt.,75
M0371 Fonaments de maquinari,Compleix les normes de prevenció de riscos laborals i de protecció ambiental identificant-ne els riscos associats les mesures i els equips per prevenir-los.,100
M0371 Fonaments de maquinari,Instal·la programari de propòsit general avaluant-ne les característiques i els entorns d'aplicació.,50
M0371 Fonaments de maquinari,Executa procediments per recuperar el programari bàsic d'un equip analitzant-los i utilitzant imatges emmagatzemades a memòria auxiliar.,75
M0371 Fonaments de maquinari,Implanta maquinari específic de centres de processament de dades (CPD) analitzant-ne les característiques i aplicacions.,50
M0374 Administració de sistemes operatius,Administra el servei de directori interpretant-ne especificacions i integrant-lo en una xarxa.,100
M0374 Administració de sistemes operatius,Administra servidors d'impressió descrivint-ne les funcions i integrant-los en una xarxa.,0
M0374 Administració de sistemes operatius,Administra processos del sistema descrivint-los i aplicant criteris de seguretat i eficiència.,100
M0374 Administració de sistemes operatius,Gestiona l'automatització de tasques del sistema aplicant-hi criteris d'eficiència i utilitzant comandes i eines gràfiques.,100
M0374 Administració de sistemes operatius,Administra de forma remota el sistema operatiu en xarxa valorant-ne la seva importància i aplicant-hi criteris de seguretat.,100
M0374 Administració de sistemes operatius,Integra sistemes operatius lliures i propietaris justificant i garantint-ne la interoperabilitat.,100
